CT Hotel ID,Market Name
2360096,Chains
2360106,Chains
2360116,Chains
2360122,Chains
2360136,Chains
2360148,Chains
1361898,Chains
2051140,Chains
1327166,Chains
1327296,Chains
1327580,Chains
1327592,Chains
1336890,Chains
1337378,Chains
1353102,Chains
380597,Chains
1329336,Chains
711912,Chains
2049354,Chains
2355370,Chains
1286752,Chains
876904,Chains
712152,Chains
1509998,Chains
1360432,Chains
957188,Chains
957220,Chains
1282178,Chains
1324326,Chains
1326426,Chains
1327372,Chains
1327392,Chains
1327362,Chains
1326384,Chains
1325624,Chains
1326246,Chains
1326316,Chains
1326850,Chains
1326382,Chains
1327650,Chains
1327230,Chains
1327604,Chains
1345404,Chains
1345610,Chains
1326894,Chains
957196,Chains
957228,Chains
1098142,Chains
1326888,Chains
1325634,Chains
1324340,Chains
380621,Chains
1343474,Chains
318626,Chains
710922,Chains
726474,Chains
1326284,Chains
1323416,Chains
2048814,Chains
710240,Chains
718025,Chains
711404,Chains
868840,Chains
379474,Chains
380615,Chains
721421,Chains
711362,Chains
40093,Chains
708464,Chains
709414,Chains
1338534,Chains
710265,Chains
710140,Chains
2045212,Chains
711542,Chains
318303,Chains
1341646,Chains
711346,Chains
1136782,Chains
318322,Chains
317240,Chains
381148,Chains
867984,Chains
741830,Chains
1323602,Chains
1359726,Chains
868846,Chains
709274,Chains
711344,Chains
710142,Chains
42852,Chains
719925,Chains
867900,Chains
40091,Chains
42416,Chains
711394,Chains
2048812,Chains
1136836,Chains
711479,Chains
729432,Chains
709891,Chains
785442,Chains
710282,Chains
711627,Chains
709821,Chains
1136796,Chains
1360240,Chains
2049516,Chains
717221,Chains
1360792,Chains
868900,Chains
2180964,Chains
957206,Chains
1306520,Chains
1324362,Chains
1326344,Chains
1325200,Chains
2180900,Chains
2046814,Chains
2046638,Chains
2046794,Chains
2046744,Chains
2046798,Chains
2181536,Chains
2180944,Chains
2180936,Chains
955078,Chains
2180960,Chains
2046760,Chains
957236,Chains
2046652,Chains
2046634,Chains
204840,Chains
1325372,Chains
378086,Chains
317639,Chains
328699,Chains
314143,Chains
1338778,Chains
2044082,Chains
2159808,Chains
2050492,Chains
2357062,Chains
2357068,Chains
2357078,Chains
2357150,Chains
2357156,Chains
2357176,Chains
2357212,Chains
2357222,Chains
2357250,Chains
2357292,Chains
2357296,Chains
2357312,Chains
2359972,Chains
2360114,Chains
2360162,Chains
2360164,Chains
2357776,Chains
1325632,Chains
1297516,Chains
1326438,Chains
2414810,Chains
1344052,Chains
1344178,Chains
1344090,Chains
731957,Chains
1323088,Chains
1323608,Chains
1323650,Chains
1323616,Chains
1323668,Chains
1323690,Chains
1331964,Chains
1323684,Chains
1323670,Chains
1323688,Chains
1323672,Chains
1323686,Chains
1331968,Chains
1323074,Chains
1323692,Chains
1323666,Chains
1323676,Chains
1323680,Chains
1323682,Chains
1328342,Chains
1331966,Chains
934768,Chains
934782,Chains
1343994,Chains
1323222,Chains
2043964,Chains
159031,Chains
1343992,Chains
1343544,Chains
2047868,Chains
81171,Chains
40099,Chains
1360920,Chains
1358056,Chains
1361560,Chains
2360120,Chains
2360168,Chains
2360188,Chains
2360200,Chains
2360254,Chains
2360262,Chains
2360270,Chains
2360286,Chains
2356878,Chains
2364810,Chains
2413834,Chains
866216,Chains
957244,Chains
1327700,Chains
1358740,Chains
1358748,Chains
1358754,Chains
310720,Chains
40106,Chains
1361804,Chains
377766,Chains
2044028,Chains
709621,Chains
2045096,Chains
2051096,Chains
1360982,Chains
1361002,Chains
1330452,Chains
1330450,Chains
1330932,Chains
1330930,Chains
1330442,Chains
1330458,Chains
1330408,Chains
1330934,Chains
1330410,Chains
1330448,Chains
1330456,Chains
1330426,Chains
1330402,Chains
1330444,Chains
1330440,Chains
1510004,Chains
1329760,Chains
1510020,Chains
1510028,Chains
1360434,Chains
1328306,Chains
1360414,Chains
1358378,Chains
1347446,Chains
1510018,Chains
1358374,Chains
1510008,Chains
