Booking_hotel_id,Booking_hotel_url,cleartrip_hotel_id,TA_hotel_id,cthotel_name,TA_url,Booking_hotel_name,TA_city_name
2342812,https://www.booking.com/hotel/in/soubhagya-inn.en-gb.html,710946,4866306,Soubhagya Inn,https://www.tripadvisor.in/Hotel_Review-d4866306.html,Hotel Soubhagya Inn,Silvassa
2342851,https://www.booking.com/hotel/in/rns-residency-sea-view.en-gb.html,739862,1029173,RNS Residency,https://www.tripadvisor.in/Hotel_Review-d1029173.html,RNS Residency Sea View,Murudeshwara
2343114,https://www.booking.com/hotel/in/sbg-guest-inn.en-gb.html,729820,3706327,S.B.G. Inn,https://www.tripadvisor.in/Hotel_Review-d3706327.html,SBG Guest Inn,Lucknow
2347291,https://www.booking.com/hotel/in/shri-hari-prem.en-gb.html,869092,8568447,Hotel Shri Hari Prem,https://www.tripadvisor.in/Hotel_Review-d8568447.html,Shri Hari Prem,Nathdwara
2347338,https://www.booking.com/hotel/in/raj-resort-rishikesh.en-gb.html,389334,1089633,Raj Resort,https://www.tripadvisor.in/Hotel_Review-d1089633.html,Raj Resort Rishikesh,Rishikesh
2349809,https://www.booking.com/hotel/in/viknesh.en-gb.html,1348864,4841408,Hotel Viknesh,https://www.tripadvisor.in/Hotel_Review-d4841408.html,Hotel Viknesh,Erode
2357788,https://www.booking.com/hotel/in/ankitha-residency.en-gb.html,375092,1828924,Hotel Ankitha Residency,https://www.tripadvisor.in/Hotel_Review-d1828924.html,Hotel Ankitha Residency,Secunderabad
2357883,https://www.booking.com/hotel/in/kt-royal.en-gb.html,715089,6474367,KT Royal Hotel,https://www.tripadvisor.in/Hotel_Review-d6474367.html,KT Royal Hotel,Patiala
2358765,https://www.booking.com/hotel/in/heevan-pahalgam-pahalgam.en-gb.html,298060,735951,Hotel Heevan Pahalgam,https://www.tripadvisor.in/Hotel_Review-d735951.html,Heevan Pahalgam,Pahalgam
2374076,https://www.booking.com/hotel/in/orbit-inn.en-gb.html,710060,3174432,Hotel Orbit Inn,https://www.tripadvisor.in/Hotel_Review-d3174432.html,Orbit Inn,Agra
2374204,https://www.booking.com/hotel/in/papaya-tree.en-gb.html,715093,4607562,Papaya Tree Hotel,https://www.tripadvisor.in/Hotel_Review-d4607562.html,Papaya Tree Hotel,Indore
2374696,https://www.booking.com/hotel/in/royal-orchid-suites-bangalore.en-gb.html,210943,1237269,Royal Orchid Suites,https://www.tripadvisor.in/Hotel_Review-d1237269.html,Royal Orchid Suites Whitefield Bangalore,Bangalore
2375678,https://www.booking.com/hotel/in/deccan-park.en-gb.html,715631,1151635,Hotel Deccan Park,https://www.tripadvisor.in/Hotel_Review-d1151635.html,Hotel Deccan Park,Pune
2377584,https://www.booking.com/hotel/in/shetty-gardenia.en-gb.html,328760,2414699,Shetty Gardenia,https://www.tripadvisor.in/Hotel_Review-d2414699.html,Shetty Gardenia Hotel,Bangalore
2380878,https://www.booking.com/hotel/in/colonels-retreat.en-gb.html,717404,4763854,Colonel's Retreat,https://www.tripadvisor.in/Hotel_Review-d4763854.html,Colonels Retreat,Jammu
