CT Hotel ID,AVERAGE_PRICE_DIFFERENCE
165802,-184
165807,1100
165858,1000
165909,129
165950,200
166001,208.333333333
166017,-349.5
166059,-1005
166060,1985
166164,564
166201,2000
166215,5500
166216,625
166276,1000
166291,-134.5
166347,-13500
168701,1700
170355,-1022
171004,700
171208,-3208.33333333
171240,783.333333333
171301,302.5
171317,1500
171341,-1350
171354,200
171356,-300
171416,-300
171420,-350
171525,500
171642,-100
171721,-8332.83333333
172427,11499.5
172434,3126
172445,10000
172530,-300
172541,400
183162,1600
201192,1000
204780,658
206560,201
206585,-2600
206693,-501
206735,6000
206788,3000
206940,-300
207000,-1500
207080,-6216.5
207280,537
207340,550
210901,5000
210940,749.5
210941,-1213
211063,-1200
211081,350
211120,900
211131,1260
211154,-17500
211191,99
211214,416.666666667
211231,2500
211234,-300
211288,3000
211306,-1000
211310,-556.5
211318,583.333333333
211357,440
211362,400
211430,-600
211445,-449
211446,150
211451,-1699
211457,-1
211471,300
211474,999
211488,1902.66666667
211557,-1000
211980,-450
212100,-17501
231145,-100
232056,304
238377,511
247046,-5000
254284,-500
263831,-409
264369,800
268900,-4533.33333333
276342,500
279242,4984.08333333
288296,300
289985,2116.66666667
290865,-500
294941,1000
295269,-5750
295385,233.333333333
296300,501
296341,-19750
296642,150
296903,-799
297036,1000
297421,-989.428571429
297556,600
297593,1500
297655,11015
297698,-400
297708,1399.33333333
297766,-391.666666667
297783,1000
297791,-250
297825,900
298002,750
298004,-3751
298060,-4055
298082,2500
298144,-1200
298225,853.571428571
301034,-822
301037,6000
301051,500
306540,-5333.66666667
306900,-6893.06666667
307300,0.166666666666
307360,950.5
307520,3000
307640,5783.33333333
307680,500
307820,500
307920,-510
308740,1190
308741,400
308780,1676
308820,-499
308860,500
309220,-1425.5
309300,6000
309380,700
309400,550
309420,-1289.66666667
309440,-3084
309760,-2125
309800,1000
309857,200
309872,640
309885,1833.33333333
309920,100
309940,3250
310100,400
310240,-500
311020,-1000
311061,-500
311200,34166.6666667
311241,-16333.3333333
311620,-1000
311661,-204
311960,-600
312220,-4450
312500,1000
312580,7333.33333333
312620,-1216.66666667
312621,-12000
312640,4000
312702,-1616.66666667
312761,350
312800,750
312921,435.5
312922,1335
312980,2857.2
313000,857.5
313080,982
313082,-201.666666667
313083,300
313085,250
313100,-462
313220,475.5
313241,-1700
313300,401
313320,633.333333333
313361,134.666666667
313381,823.5
313680,-5500
313740,1000
313761,366.666666667
313803,436.666666667
313806,665.666666667
313860,500
313865,-1042.5
313902,-2250
313921,2050
313922,-249
313980,-2250
313981,2000
314060,-572.666666667
314062,-2917.66666667
314063,2416.66666667
314106,1000
314142,-425.5
314150,-352
314162,1200
314180,-5000
314186,1300.3
314190,500
314197,866.666666667
314221,-137.222222222
314294,-1250
314295,-700
314300,-1012
314322,-1449.5
314443,1500
314471,483.333333333
314480,-350
314494,-0.5
314499,542.75
314524,-2000
314527,1000
314528,1000
314531,-2889
314536,2516.66666667
314542,200
314546,-500
314549,1163
314551,-8332.83333333
314557,1625
314560,54
314581,4000
314601,1000
314781,1033.33333333
314801,1133.33333333
314841,400
314846,-825
314868,695
314891,-1022
314950,500
314990,-600
315010,360
315011,-1099.66666667
315071,-900
315113,49.75
315191,1450.5
315251,1744
315256,300
315356,-630
315377,150
315381,-843
315396,200
315440,-250
315479,-125
315485,-499
315497,-1500
315517,1400
315538,1199.66666667
315680,1010
315681,1300
315697,-5983.08333333
315718,5927.5
315778,1500
315798,250
315858,494.5
315877,200
315899,2600
315957,-1450
315961,478.416666667
315977,-266
316037,-333.333333333
316038,599
316057,496.666666667
316137,512
316219,3105
316258,-1083.33333333
316357,-192
316359,1500
316517,3200.5
316717,-12500
316877,-1000
316920,700
316978,400.333333333
316999,2250
317000,-233.333333333
317017,6722
317037,-3000
317159,-12311.7777778
317198,-705
317238,-359.833333333
317239,400
317279,1386.66666667
317280,3500
317304,5000
317358,700
317478,500
317498,500
317518,-400
317558,1550.225
317579,4500
317639,8500.2
317640,-1633.6
317782,-612.666666667
318104,1098.66666667
318107,-500
318142,-500
318222,201
318246,200
318248,500
318297,-2000
318305,-799
318306,154.5
318313,549
318315,-1098.5
318321,988
318325,1944
318329,4000
318331,-400
318345,-584
318346,-200
318347,1100
318405,2665.66666667
318428,-701
318444,-149
318451,5506.85714286
318464,3440.47619048
318465,-3074.875
318469,1816
318470,1100
318504,2001
318525,512.75
318544,609.333333333
318625,1146.5
318726,-3220.83333333
318737,-351
318807,220
318906,1370
318985,-951
319006,5250
319126,-1266.14285714
319168,-1000.5
319438,-1000
319477,700
319478,216.666666667
319531,-399
319571,401
319637,200
319694,-1000
319715,1075
319779,-700
320151,-2467.5
320193,540
320232,774
320371,-7250
320533,200
320615,-100
320617,300
320873,-671.428571429
320993,1559.12222222
321073,-435
321133,593.5
321155,-230
321194,-1299
321273,1707.33333333
321374,410
321453,1250.5
321533,-1520
321541,-1833.16666667
321616,-1750
321619,1250.5
321734,100
321735,500
321795,389
321894,199
327239,-500
327294,1250
327297,1000
327299,-930
327316,1700
327320,3500
327321,-1000
327322,300
327323,-300
327339,1000
327343,450
327374,500
327423,-200
327455,-300
327475,17501
327498,475
327539,-550
327541,500
327554,616.666666667
327574,-1442.16666667
327675,-250
327677,500
327698,-450
327899,-337.5
327900,-1125
327918,-500
327998,416
328078,528
328119,900
328163,-251
328198,5000
328222,2333.33333333
328378,2000
328419,2393.75
328520,-333.833333333
328639,875
328760,3450
328802,250
328819,267
328842,-850
328858,-209.5
328983,400
328999,219.5
329047,320
329119,-400
329122,-1000
329178,1500
329259,-133.333333333
329263,2216
329278,1300
329298,153
329319,533.333333333
329343,-805.5
329378,2400
329381,2001
329398,-300
329418,514.5
329438,350
329458,275
329598,-7.5
329680,9433.33333333
329699,100
329744,-2500
329818,-350
329839,99
329841,-400
329845,499
329858,1101.8
329922,-500
329928,2000
329979,-249
329980,-2000
330019,450
330024,-400
330038,-200
330041,650
330118,1900
330138,-1500
330298,300
330381,2117
330405,5500
330451,131
330513,2701
330668,-700
330730,-250
330890,-800
330948,900
330968,-1166.66666667
331390,-260
331410,-3289
331450,1050
331530,730.666666667
331591,1000
331612,-500
331617,596
331730,-2735.5
331750,-199
331752,17615
331870,816.666666667
331893,300
331910,1229.33333333
332019,800
332039,-1449
332195,300
332203,1000
332296,-1251
332306,-460
332334,1214.28571429
332355,-484.5
332381,144
332394,-614.285714286
332415,-163
332522,-500
332555,1250
332574,-300
332617,-66.6666666667
332674,404
332675,-6285.5
332676,1825
332755,-490.416666667
332999,2703
333036,216.666666667
333058,600
333122,3272.5
333258,-500
333298,-2000
333358,-350
333539,4000
333682,1200
333859,700
333979,-983
334000,-683.333333333
334019,-1000
334039,784
334061,-999.333333333
334082,800
334239,-201
334460,867.666666667
334522,758.25
334601,200
334739,-5000
334741,-600
334839,100
334842,1150
334982,-625
334984,-300
335019,2000
335022,-420
335120,-636.5
335126,-4425
335160,-325
335163,-1000
335241,639.166666667
335263,300
353223,1000
353230,-1527.5
353234,-500
353239,1500
353240,750
353243,-8250
353244,-500
353267,-666.666666667
353300,250
353400,-267
353420,1666.33333333
353543,936.666666667
353580,8000.28571429
353583,1200.5
353621,2925
353782,2196.66666667
353783,6001
353839,800
353883,303
353888,611.458333333
353899,2000
353903,-300
353944,500
353979,396.80952381
354022,-749.5
354023,400
354041,-11600
354060,469.660714286
354121,431
354147,-253
354163,11125
354184,450
354235,981
354238,5416.66666667
354280,325
354281,1215
354301,-334
354303,-1862.22222222
354408,55.6666666667
354419,1000
354480,-1000
354482,-400
354501,-1729
354524,1000
354540,550
354572,-6779.33333333
354640,-1000
354661,-25500
354683,1000
354699,-400
354704,-1587.5
354742,42500
354747,500
354892,-870
354898,300
354919,260
354921,-400
354922,-500
354942,-1000
354943,523.3
354961,5000
355000,-200
355003,1002.88888889
355040,-1695
355042,-200
355043,-2266.66666667
355081,203.933333333
355083,786.5
355142,-1000
355162,1750
355180,666.666666667
355241,-800
355246,-184.5
355302,1647.5
358482,1500
